section,question,answer,page_link
اقتصاد وأعمال,هل توجد محطات وقود بحرية في السعودية؟,"نعم، وتعد محطة ""أرامكو مارينا"" أول محطة بحرية في المملكة العربية السعودية، إذ أعلنت شركة الزيت العربية السعودية ""أرامكو السعودية"" افتتاحها في 28 شعبان 1445هـ/9 مارس 2024م، في نادي اليخوت بمدينة جدة على ساحل البحر الأحمر، تزامنًا مع انطلاق سباق جائزة السعودية الكبرى للفورمولا 1، وتعمل المحطة على تزويد اليخوت والقوارب بالوقود.
تُشغل المحطة تحت العلامة التجارية لأرامكو السعودية، وهي ضمن أعمال الشركة للإسهام في دعم قطاع السياحة في المنطقة وتطوير التنمية السياحية السعودية، وتخدم المحطة العملاء المحليين والدوليين، إذ توفر منتجي الديزل والبنزين.
وتبلغ الطاقة التشغيلية للمحطة نحو 65 مليون لتر سنويًا.",https://saudipedia.com/article/17318/اقتصاد-وأعمال/أرامكو-السعودية/هل-توجد-محطات-وقود-بحرية-في-السعودية
تاريخ,هل توجد منشآت حجرية في السعودية؟,"نعم، تحتضن المملكة العربية السعودية منشآت حجرية ذات أشكال وأحجام متعددة، إذ تمثل بدورها معالم أثرية تحمل جانبًا علميًا وثقافيًا ومعرفيًا لحضارات مختلفة. ويقدر عدد مواقع هذه المنشآت في السعودية بـ868 موقعًا يعود تاريخ بعضها إلى الألف السابع قبل الميلاد.
وتنتشر المنشآت الحجرية في أنحاء المملكة، خاصة في الحرّات البركانية، وبالقرب من الواحات والمراكز الحضارية القديمة، وتتشكّل في مجموعات تمتد لعشرات الكيلومترات.
وتعرف المنشآت الحجرية بأنها مبانٍ حجرية لها أشكال ووظائف متعددة، تحير العلماء في الإدلاء بتفسير محدد لوجودها، ومن هذه المنشآت المنتشرة في شبه جزيرة العرب: المدافن الحجرية، والمصايد الحجرية، والدوائر الحجرية، والأعمدة المنصوبة، والمستطيلات (البوابات)، والجدران الممتدة.
وتتضمن التفسيرات التي فسرت بها هذه الدوائر الحجرية أنها عادة تدل على المساكن، أو المدافن، أو طقوس تعبدية، أو يُستدل بها على مسارات الطريق، أو قد تكون أحد أساليب الإشارة إلى وجود آبار المياه.",https://saudipedia.com/article/17298/تاريخ/معالم-و-آثار/هل-توجد-منشآت-حجرية-في-السعودية
حكومة وسياسة,من هم الخويا؟,"الخويا هم موظفون في الديوان الملكي، أقل مرتبة من الحرس الملكي، يظهرون حول الملوك والأمراء دائمًا، ويتصفون بالأخوة والتفاني والإخلاص والفدائية، ويؤدون مهام خدمية وأمنية للملك.
كان الخويا في عهد الملك المؤسس عبدالعزيز بن عبدالرحمن آل سعود مقسمين إلى 15 مجموعة، للتناوب على مدار الساعة في القصر بنظام ""الخبر""، وفي عام 1385هـ/1965م، انضم الخويا إلى وزارة الداخلية.
و""الخويا"" مفردها ""خوي""، وهي كلمة مأخوذة من أخ، وأخوة، وإخاء، ويقصد بها الصديق الذي يقترب إلى منزلة الأخ، وهو موروث شعبي في الجزيرة العربية، وما زال ملوك وأمراء المملكة العربية السعودية يحافظون عليه.
",https://saudipedia.com/article/17297/حكومة-وسياسة/الأمن-والدفاع/من-هم-الخويا
تاريخ,ما المقصود بـ'نخوة العوجا'؟,"نخوة العوجا هي النداء الذي يتصل بالمجتمع في المملكة العربية السعودية، ويبث في أهلها الحماسة والفخر والانتماء للوطن، ويعد أحد الرموز الخاصة بالمجتمع السعودي منذ القدم، وهو ممتد عبر تاريخ آل سعود؛ إذ كان يطلق على أجدادهم آل مقرن ""خيّال العوجا""،و""خيّال ابن مقرن""، وذلك لما اشتهر به مقرن بن مرخان بن مانع المريدي من قوة وشجاعة، فكان يُعتزى به،  وعندما أصبحت الدرعية عاصمة الدولة السعودية الأولى، انتقلت النخوة إلى المكان، وأصبحت تشمل كل أجزاء الدولة السعودية الأولى،يقول أحد الشعراء:
حنا هَل العوجا وحِنّا اللي نرد الضديد
والطايلة يحظى بها من عزّ طاروقها.
ويطلق مصطلح العوجا على الدرعية، الواقعة على امتداد وادي حنيفة المتعرج،وكانت عماد الاستقرار والوحدة، وملتقى طريق التجارة والحج من الجنوب إلى الشمال، ومن الشرق إلى الغرب، وتضمن مصطلح ""العوجا"" عددًا من الآراء التي تشير إلى معانيه المتعددة، منها: اسم فرس عربية مشهورة، واسم قطيع من الإبل المشهورة، والدعوة إلى الدين الصحيح، وشهادة ""لا إله إلا الله""، والملة الحنفية، واسم للدلالة المكانية.
بدأ الاهتمام بتوثيق النخوة، إثر التوضيح الذي قدمه خادم الحرمين الشريفين الملك سلمان بن عبدالعزيز آل سعود، حينما كان أميرًا على منطقة الرياض، ونُشر آنذاك في الصحافة.",https://saudipedia.com/article/17296/تاريخ/تاريخ-المملكة-العربية-السعودية/ما-المقصود-بنخوة-العوجا
تاريخ,متى كانت أول رحلة بالطائرة للملك عبدالعزيز؟,كانت أول رحلة بالطائرة للملك المؤسس عبدالعزيز بن عبدالرحمن آل سعود من مدينة عفيف، شمال غربي مدينة الرياض، إلى الحوية، قرب محافظة الطائف، وذلك في 24 شوال 1364هـ/3 أكتوبر 1945م،وكانت الطائرة من نوع دوجلاس (DC-3) أهداها إليه الرئيس الأمريكي فرانكلين دي روزفلت.,https://saudipedia.com/article/17293/تاريخ/تاريخ-المملكة-العربية-السعودية/متى-كانت-أول-رحلة-بالطائرة-للملك-عبدالعزيز
تاريخ,متى أعلن توحيد المملكة العربية السعودية رسميا؟,"وحّد الملك المؤسس عبدالعزيز بن عبدالرحمن آل سعود أجزاء البلاد تحت إدارته في نحو 30 عامًا، وصدر أمر ملكي بإعلان توحيد البلاد، وتسميتها باسم المملكة العربية السعودية في 17 جمادى الأولى 1351هـ/18 سبتمبر 1932م، ابتداءً من يوم الخميس 21 جمادى الأولى 1351هـ/23 سبتمبر 1932م.
وبعد إعلان توحيد المملكة العربية السعودية دولة عربية ذات سيادة تامّة، دينها الإسلام، ولغتها العربية، وعاصمتها الرياض، ودستورها القرآن الكريم والسنة النبوية الشريفة، قال الملك عبدالعزيز ""لقد ملكت هذه البلاد التي هي تحت سلطتي بالله ثم بالشيمة العربية، وكل فرد من شعبي هو جندي وشرطي، وأنا أسير وإياهم كفرد واحد، لا أفضل نفسي عليهم، ولا أتبع في حكمهم غير ما هو صالح لهم، حسبما جاء في كتاب الله وسنة نبيه صلى الله عليه وسلم"".",https://saudipedia.com/article/17291/تاريخ/تاريخ-المملكة-العربية-السعودية/متى-أعلن-توحيد-المملكة-العربية-السعودية-رسميا
حكومة وسياسة,هل توجد تجارب سريرية على البشر في السعودية؟,"نعم، توجد تجارب سريرية على البشر في المملكة العربية السعودية، إذ أنشئ مركز للتجارب السريرية على البشر في مركز الملك عبدالله العالمي للأبحاث الطبية ""كيمارك"" عام 1441هـ/2019م، ولم تكن هناك أي تجارب سريرية في السعودية قبل إنشاء المركز.
وتساعد التجارب السريرية على البشر العلماء في التحقق من سلامة الأدوية واللقاحات الجديدة، وتوضيح آليات عملها بدقة، وعمل العقار بدقة منذ دخوله الجسم.",https://saudipedia.com/article/17282/حكومة-وسياسة/الصحة/هل-توجد-تجارب-سريرية-على-البشر-في-السعودية
مجتمع,هل يوجد أنمي سعودي؟,"نعم، يوجد أنمي سعودي، إذ عملت شركة مانجا للإنتاج التابعة لمؤسسة محمد بن سلمان ""مسك"" على إنتاج وعمل عدد من الأعمال بأسلوب الأنمي منها:
أُنتج عام 1439هـ/2018م، وعرض على خمس محطات يابانية، وهو أول عمل رسوم متحركة سعودي وعربي يُعرض على شاشات التلفاز في اليابان.
أُنتج عام 1441هـ/2020م ويعد الأول سعوديًا الذي أُنتج بالتعاون مع استوديو ""توي أنيميشن"" الياباني. وأُنتج من المسلسل موسمان.
أنتج عام 1442هـ/2021م، بالتعاون مع شركة توي أنيميشن اليابانية. وعرض على أكثر من 52 منصة حول العالم بست لغات عالمية.
",https://saudipedia.com/article/17208/مجتمع/ترفيه/هل-يوجد-أنمي-سعودي
حكومة وسياسة,هل توجد مدن ذكية في السعودية؟,"نعم، توجد في المملكة العربية السعودية مدن ذكية، فقد أطلقت منظومة البلديات والإسكان، مبادرة ""تطبيق مفاهيم المدن الذكية"" عام 1438هـ/2017م، بهدف استحداث خمس مدن ذكية في خمس مدنٍ سعوديةٍ بحلول عام 2020م، كما تستهدف المبادرة الوصول إلى 17 مدينة، تشمل مدن السعودية الرئيسة التي يشكل عدد سكانها نحو 72% من إجمالي السكان، وهي: مكة المكرمة، والرياض، وجدة، والمدينة المنورة، والأحساء، والدمام/الخبر، والقطيف، والطائف، وبريدة/ عنيزة، وأبها/خميس مشيط، وجازان، وتبوك، ونجران، وسكاكا، وحائل، والباحة، وعرعر.
وتشمل مكونات المدن الذكية: المباني الذكية، وأنظمة النقل الذكي لتوجيه الحركة المرورية وتقليل الازدحام، وخدمات الأمن والسلامة الذكية، والمتنزهات وممرات المشاة المزودة بوسائل التواصل الذكي (WiFi)، والشبكات الذكية لتصريف مياه الأمطار ودرء أخطار السيول، واستخدام الإنارة الذكية للشوارع والطرق لترشيد الطاقة، وأنظمة مراقبة تدوير النفايات، وتخفيض التلوث وتقليص الآثار السلبية على البيئة وصحة الإنسان، وزيادة التوعية بالأخطار البيئية، وتحقيق سرعة الاستجابة للطوارئ، والاقتصاد الذكي الداعم للشركات الصغيرة والمتوسطة والكبيرة.
وفي عام 1443هـ/2022م، اُعتمدت استراتيجية المدن الذكية، التي تهدف إلى تحويل خدمات القطاع البلدي والسكني إلى ""خدمات ذكية""، من خلال استخدام التقنيات الرقمية وتقنيات إنترنت الأشياء؛ لتوفير الخدمات المعزّزة للازدهار الاقتصادي، والاستدامة البيئية، والإشراف الحكومي الفاعل، إذ جرى بناء الاستراتيجية بمشاركة جميع الأمانات في القطاع البلدي، وطُورت استراتيجية خاصة بكل أمانة تشمل خارطة طريق تمتد إلى عام 2030م.",https://saudipedia.com/article/17182/حكومة-وسياسة/الشؤون-البلدية-والإسكان/هل-توجد-مدن-ذكية-في-السعودية
تاريخ,أين يقع قصر ابن رمان؟,"يقع قصر ابن رمان التاريخي في محافظة تيماء بمنطقة تبوك شمال غربي المملكة العربية السعودية، بالقرب من بئر هداج الأثرية، وهو قصر تاريخي يتجاوز عمره 100 عام.
أطلقت على القصر أسماء أخرى غير اسمه الحقيقي، ففي بعض الفترات سمي بـ""قصر المذرعية"" نسبة لموقع الأرض المبني عليها، وحين دخلت تيماء تحت الحكم السعودي، أطلق عليه اسم ""قصر الإمارة"".
بدأ تشييد قصر ابن رمان عام 1335هـ/1917م، وانتهى عام 1338هـ/1920م، وهو من طراز العمارة التقليدية بمحافظة تيماء، وصمم على شكل منزل كبير من طابقين من الحجر الجيري.",https://saudipedia.com/article/17154/تاريخ/معالم-و-آثار/أين-يقع-قصر-ابن-رمان
اقتصاد وأعمال,ما هي أهداف كود الطرق السعودي؟,"كود الطرق السعودي،هو مرجع وطني، أُعدّ للجهات المسؤولة عن الطرق في المملكة العربية السعودية،يتضمن 25 كودًا، أطلقته الهيئة العامة للطرق عام 1445هـ/2024م.
ويهدف كود الطرق السعودي إلى أن يكون مرجعًا وطنيًا وفنيًا موحدًا للجهات المعنية بإنشاء الطرق بكافة مستوياتها في السعودية، كالوزارات، وهيئات التطوير في المناطق، وهيئات تطوير المدن، وبلديات المدن والمحافظات، وأمانات المناطق، ليتسنى للجهات من خلاله الوصول إلى المعلومات اللازمة، لتصميم، وتخطيط، وتنفيذ، وتشغيل وصيانة وسلامة الطرق بجوانبها البيئية ومتطلبات المركبات ذاتية القيادة، إلى جانب الإرشادات، والإجراءات والرسومات وقوائم التدقيق لجميع شبكات الطرق في السعودية؛ بهدف المساهمة في تحقيق الحد الأدنى من مستويات الجودة، والأمان والسلامة، والكفاءة الاقتصادية، والبيئة والاستدامة.",https://saudipedia.com/article/17128/اقتصاد-وأعمال/شؤون-اقتصادية/ما-هي-أهداف-كود-الطرق-السعودي
جغرافيا,أين يزرع الكادي في السعودية؟,"يُزرع الكادي في عدة مناطق بالمملكة العربية السعودية، منها: الباحة، خاصة في مزارع قرية ذي عين التراثية التي تحتضن مهرجانًا سنويًا للموز والكادي.
وتغطي مزارع الموز والكادي بذي عين التراثية، التي تسقى من عين القرية، أكثر من مليوني م2،  تنتج سنويًا نحو 70 ألف عذق من الكادي.
كما يُزرع الكادي في منطقة جازان التي تتميّز بنباتاتها العطرية، مثل الفُل الجازاني، والبعيثران، والشذاب، والنرجس، والفل العزان، والشيح. وكذلك يُزرع الكادي في منطقة عسير. وتنجح زراعة الكادي في الرياض.
وينتمي الكادي إلى جزر البولينيزيا في المحيط الهادي، وله جذور هوائية وأوراقه مخططة باللونين الأصفر والأخضر، وهناك عدد من الأنواع التابعة للجنس نفسه Pandanus utilis وPandanus veitchii، وللكادي أفرع قليلة ونادرًا ما يُزهر والأوراق نجمية، وله قدرة عالية على تحمل الجفاف، لكن نموه يجود في الأراضي الرملية والطينية والقلوية الرطبة، وهو سهل التأقلم لكنه يفضّل النمو في الظروف الحارة والجافة، وتستخدم أوراقه لنسج الأقمشة، ويتم استخلاص الألوان من جذوره، وله خواص طبية ويستخدم نباتًا تنسيقيًا في الحدائق.",https://saudipedia.com/article/17097/جغرافيا/أين-يزرع-الكادي-في-السعودية
مجتمع,ما هي البرامج الوقائية التي يدعمها برنامج الجينوم السعودي؟,"يدعم برنامج الجينوم السعودي مجموعة من البرامج الوقائية التي تسهم في الحد من الأمراض الوراثية والجينية، وهي: الفحص الوراثي للأجنة، وفحص الأجنة، وفحص حديثي الولادة، وفحص الأشخاص الحاملين أو الناقلين للأمراض الوراثية كـ""فحص ما قبل الزواج، أو الإنجاب أو الفحص الشامل""، والكشف عن التركيبة الوراثية للشخص، وتحسين طرق علاج الأمراض إلى جانب إعطاء المريض الدواء المناسب له، والعمل على الكشف المبكر قبل الإصابة ببعض الأمراض المزمنة، ووضع خطة علاجية ملائمة.",https://saudipedia.com/article/17065/مجتمع/الصحة/ما-هي-البرامج-الوقائية-التي-يدعمها-برنامج-الجينوم-السعودي
اقتصاد وأعمال,ما هو برنامج الربط الجوي؟,"برنامج الربط الجوي ""ACP""،هو أحد برامجمنظومة السياحة في المملكة العربية السعودية، يعمل على تطوير المسارات الجويّة الحالية، وإضافة مسارات جديدة بوصفه المُمكّن التنفيذي للاستراتيجية الوطنية للسياحة، والاستراتيجية الوطنية للطيران، كما يعمل على تعزيز التعاون وبناء الشراكات في منظومتي السياحة والطيران، وتعزيز مكانة المملكة بوصفها وجهة سياحيّة رائدة عالميًا.
منذ تأسيس البرنامج في 1442هـ/2021م استحدث نحو 60 مسارًا جويًا جديدًا مباشرًا حتى عام 1446هـ/2024م، ويقدم الدعم لتسهيل التواصل مع الشركاء‌‌ الرئيسين‌‌ والجهات المعنية، ‌‌وتقديم الرؤى والبيانات ل‍‍فهم السوق، وضمان استدامة المسارات الجوية ومرونتها، إضافة إلى تشكيل لجان لتطوير المسارات الجوية، ومناقشات حول الحوافز المُقدّمة، كما يعمل على تزويد الشركاء‌‌ الرئيسين بالمستجدات، من خلال التعاون مع المطارات داخل المملكة‌‌ وخارجها،‌‌ ‌‌إضافةً إلى ت‍‍قد‍‍ي‍‍م المزايا التشغيلية، وجدولة الوجهات‌‌ ذات الأولويّة،‌‌ ‌‌وتقديم الحوافز، ومشاركة البيانات.‌",https://saudipedia.com/article/17064/اقتصاد-وأعمال/سياحة/ما-هو-برنامج-الربط-الجوي
اقتصاد وأعمال,أين يقع حقل الشيبة؟,يقع حقل الشيبة وسط صحراء الربع الخالي جنوب المنطقة الشرقية من المملكة العربية السعودية، ويبعد نحو 800 كم من مقر شركة أرامكو السعودية في مدينة الظهران، وهو حقل نفطي تبلغ طاقته الإنتاجية اليومية مليون برميل من النفط الخام في اليوم. اكتشف في عام 1388هـ/1968م، وسط كثبان رملية يبلغ ارتفاعها 1000 قدم (333م). وبدأت أعمال إنشاء مرافق الحقل عام 1416هـ/1995م، وتضمنت إنشاء طريق عبر الصحراء بطول 386 كم، ومطار، وخط أنابيب بطول 645 كم يمتد إلى مرافق المعالجة في الشمال، كما تم حفر 145 بئرًا، وإنشاء ثلاثة معامل لفصل الغاز عن الزيت. واكتملت الأعمال بعد ثلاث سنوات، أي في عام 1419هـ/1998م. وشهد الحقل لاحقًا إنشاء مشروعين جديدين، هما: مشروع توسعة حقل النفط، ومشروع استخلاص سوائل الغاز الطبيعي.,https://saudipedia.com/article/17032/اقتصاد-وأعمال/أرامكو-السعودية/أين-يقع-حقل-الشيبة
حكومة وسياسة,ما شروط القبول في كلية الحرم المكي الشريف؟,"تضع كلية الحرم المكي الشريف شروطًا للتسجيل، في أقسام: الشريعة، والسنة وعلومها، والقرآن وعلومه، والعقيدة، واللغة العربية، ومن الشروط اللازمة في القبول، وفقًا لعام 1446هـ/2025م:
أن يكون المتقدم سعودي الجنسية، أو يملك إقامة نظامية في المملكة العربية السعودية.
أن يكون حاصلًا على شهادة الثانوية العامة أو ما يعادلها، من داخل السعودية أو خارجها بمعدل تراكمي 85% فأعلى، مع مصادقتها من الجهة المعنية.
أن يكون المتقدم حافظًا لثلاثة أجزاء من القرآن الكريم.
اجتياز الاختبارات والمقابلات الشخصية الخاصة بالقبول.
أن يكون المتقدم  لائقًا طبيًا، ويلزم إحضار الكشف الطبي بعد القبول النهائي.
ألا يكون طوي قيده من كلية الحرم أو أي جامعة أخرى لأسباب أكاديمية أو تأديبية.
موافقة مرجعه على الدراسة إذا كان يعمل في جهة حكومية أو خاصة، ويلزم إحضار ما يفيد من ""أبشر"" والتأمينات الاجتماعية"" بعد القبول النهائي.
أن يكون المتقدم حسن السيرة والسلوك.
أن تكون البيانات المدخلة في رابط التسجيل مطابقة للأصول، وفي حال عدم المطابقة فيعد الطلب ملغى.
الدراسة حضورية فقط.",https://saudipedia.com/article/17021/حكومة-وسياسة/التعليم-والتدريب/ما-شروط-القبول-في-كلية-الحرم-المكي-الشريف
